english,kky,tsc,category,image,audio,submitted by
A,senabi,,determiner,,,eric
A,urapon,,determiner,,,eric
abandon,adatean,,verb,,,eric
abhor,ngulamoin,,verb,,,eric
abide,apatanu,,verb,,,eric
able,ngulaigö,,adjective,,,eric
abode,lagö,,place,,,eric
adominable,wati,,adjective,,,eric
adominable, ipidadö,,adjective,,,eric
above,gimal,,preposition,,,eric
absent,mata-launga,,adjective,,,eric
accede,kuduman,,verb,,,eric
accept,toridiz,,verb,,,eric
accompany,kalmel-uzar,,verb,,,eric
accuse,imulizilamizö,,verb,,,eric
accustom,mina-asizinga,,verb,,,eric
acknowledge,wa,,verb,,,eric
across,kakuru-pataean,,preposition,,,eric
act,nidaipa,,verb,,,eric
admit,kuduman,,verb,,,eric
advance,kulaitai,,verb,,,eric
advise,gudö-nitun,,verb,,,eric
afraid,akanö,,adjective,,,eric
after,wagel,,preposition,,,eric
after,muasin,,preposition,,,eric
afternoon,kuta,,time,,,eric
afternoon,kutapa,,time,,,eric
again,laka,,adverb,,,eric
agree,uraponia,,verb,,,eric
air,gubö,,environment,,,eric
alike,matangadagid,,adjective,,,eric
alive,igelilönga,,adjective,,,eric
all,mura,,predeterminer,,,eric
allow,getwani,,verb,,,eric
alone,kusaig,,adjective,,,eric
also,a,,adverb,,,eric
always,mata,,adverb,,,eric
always,ngaru,,adverb,,,eric
ancestor,kaied,,person,,,eric
anchor,iadi,angka,tool,,,eric
anchor,koiad,angka,tool,,,eric
ancient,kulba,,adjective,,,eric
and,a,,conjunction,,,eric
and,ia,,conjunction,,,eric
angel,angela,,person,,,eric
anger,tabukir,,person,,,eric
anger,iaragi,,emotion,,,eric
animal,urui,,animal,,,eric
ankle,dana-koko,,body part,,,eric
anklet,dunakukur,,clothing,,,eric
anoint,pinin,,verb,,,eric
another,wara,,determiner,,,eric
answer,modobia,,speech,,,eric
answer,muli,,speech,,,eric
ant,mugu,,animal,,,eric
ant,taumi,,animal,,,eric
argue,patöridizö,,verb,,,eric
arise,kadai tanuriz,,verb,,,eric
arm,getö,,body part,,,eric
arm,udu,,body part,,,eric
arm,zugu,,body part,,,eric
armlet,musur,,body part,,,eric
around,lunuranö,,body part,,,eric
arrive,mangizö,,body part,,,eric
arrow,taeak,,tool,,,eric
arrow,taiek,,tool,,,eric
arrow,terig,,tool,,,eric
arrow,kimus,,tool,,,eric
artery,kirer,,body part,,,eric
as,keda,,adverb,,,eric
ascend,walizö,,verb,,,eric
ashamed,azir,,adjective,,,eric
ashes,kunar,,environment,,,eric
ask,iapopoibi,,verb,,,eric
asleep,utui,,adjective,,,eric
assemble,garöweidamoin,,verb,,,eric
assist,ibupoidan,,verb,,,eric
astonished,lupaliz,,adjective,,,eric
at,nia,,preposition,,,eric
attack,pazilamiz,,verb,,,eric
aunt,rebata,,person,,,eric
aunt,apu,,person,,,eric
aunt,ǎma,,person,,,eric
aunt,naiubat,,person,,,eric
awake,danpaliz,,verb,,,eric
away,adapa,,adverb,,,eric
axe,aga,tamyok,tool,,,eric
axe,turik,tamyok,tool,,,eric
