english,kky,tsc,category,image,audio,submitted by
Babe,mabetö,,person,,,casey
Babe,kazi,,person,,,casey
back,kalö,,body part,,,casey
back,kibu,,body part,,,casey
backbone,göruridö,,body part,,,casey
bad,wati,,adjective,,,casey
bad,ipidadö,,adjective,,,casey
bag,iana,,tool,,,casey
bald,guai,,adjective,,,casey
ball,kokam,,tool,,,casey
bamboo,marapö,,environment,,,casey
banana,katamö,,environment,,,casey
banana,dauai,,environment,,,casey
band,iatial,,collective,,,casey
bark,pia,,environment,,,casey
bark,pura,,environment,,,casey
basket,iana,,tool,,,casey
basket,li,,tool,,,casey
basket,boi,,tool,,,casey
bat,sapor,,animal,,,casey
bat,sapura,,animal,,,casey
bathe,urupugan,,verb,,,casey
bay,kupadö,,place,,,casey
beach,butu,,place,,,casey
bead,kusa,,environment,,,casey
beak,gudö,,environment,,,casey
beak,piti,,environment,,,casey
bear,töridiz,,verb,,,casey
beard,iata,,body part,,,casey
beard,gudop,,body part,,,casey
beat,mataman,,verb,,,casey
beautiful,kapu,,adjective,,,casey
because,siaizi,,preposition,,,casey
because,kedazöngu,,preposition,,,casey
become,azipa,,verb,,,casey
bed,dögam,,tool,,,casey
bee,töda,,animal,,,casey
bee,ped,,animal,,,casey
bee,mosu,,animal,,,casey
beetle,idara,,animal,,,casey
before,paru,,preposition,,,casey
before,kulai,,preposition,,,casey
beg,ieudepa,,verb,,,casey
beg,amaizö,,verb,,,casey
begin,kuikaiman,,verb,,,casey
behead,kuikö-patan,,verb,,,casey
behind,kalapa,,preposition,,,casey
behold !,ngapanagi,,verb,,,casey
believe,kapuakasin,,verb,,,casey
bell,pati,,tool,,,casey
