english,kky,tsc,category,image,audio,submitted by
Babe,mabetö,,person,,,casey
Babe,kazi,,person,,,casey
back,kalö,,body part,,,casey
back,kibu,,body part,,,casey
backbone,göruridö,,body part,,,casey
bad,wati,,adjective,,,casey
bad,ipidadö,,adjective,,,casey
bag,iana,,tool,,,casey
bald,guai,,adjective,,,casey
ball,kokam,,tool,,,casey
bamboo,marapö,,environment,,,casey
banana,katamö,,environment,,,casey
banana,dauai,,environment,,,casey
band,iatial,,collective,,,casey
bark,pia,,environment,,,casey
bark,pura,,environment,,,casey
basket,iana,,tool,,,casey
basket,li,,tool,,,casey
basket,boi,,tool,,,casey
bat,sapor,,animal,,,casey
bat,sapura,,animal,,,casey
bathe,urupugan,,verb,,,casey
bay,kupadö,,place,,,casey
beach,butu,,place,,,casey
bead,kusa,,environment,,,casey
beak,gudö,,environment,,,casey
beak,piti,,environment,,,casey
bear,töridiz,,verb,,,casey
beard,iata,,body part,,,casey
beard,gudop,,body part,,,casey
beat,mataman,,verb,,,casey
beautiful,kapu,,adjective,,,casey
because,siaizi,,preposition,,,casey
because,kedazöngu,,preposition,,,casey
become,azipa,,verb,,,casey
bed,dögam,,tool,,,casey
bee,töda,,animal,,,casey
bee,ped,,animal,,,casey
bee,mosu,,animal,,,casey
beetle,idara,,animal,,,casey
before,paru,,preposition,,,casey
before,kulai,,preposition,,,casey
beg,ieudepa,,verb,,,casey
beg,amaizö,,verb,,,casey
begin,kuikaiman,,verb,,,casey
behead,kuikö-patan,,verb,,,casey
behind,kalapa,,preposition,,,casey
behold !,ngapanagi,,verb,,,casey
believe,kapuakasin,,verb,,,casey
bell,pati,,tool,,,casey
belly,maita,,body part,,,casey
below,apalö,,preposition,,,casey
belt,wakau,,clothing,,,casey
bend,balbaitilan,,verb,,,casey
berry,kusa,,environment,,,casey
best,kapuminar,,adjective,,,casey
betel,wau,,environment,,,casey
between,dadan,,preposition,,,casey
beware,iman,,verb,,,casey
beyond,adapudiz,,preposition,,,casey
bible,tusi,,tool,,,casey
big,koi,,adjective,,,casey
big,kai,,adjective,,,casey
bind,dörödimoin,,verb,,,casey
bird,urui,,animal,,,casey
birth,mainguzi,,abstract,,,casey
bit,tapi,,abstract,,,casey
bite,töidiz,,verb,,,casey
bite,taidisa,,verb,,,casey
bitter,tera,,adjective,,,casey
black,kubikubinga,,adjective,,,casey
bladder,ubalö,,body part,,,casey
blade,turik,,tool,,,casey
blame,guratöridan,,verb,,,casey
blaze,buia,,verb,,,casey
bleed,kulka,,verb,,,casey
blessed,unabo,,adjective,,,casey
blind,imaiginga,,adjective,,,casey
blood,kulka,,body part,,,casey
blossom,kukuam,,environment,,,casey
blow,puian,,verb,,,casey
blue,tanabadö,,adjective,,,casey
blue,maluda,,adjective,,,casey
blunt,dugunga,,adjective,,,casey
blush,azir,,,,,casey
boast,ngada-palepa,,,,,casey
boat,gul,,,,,casey
body,gamu,,,,,casey
bog,sai,,,,,casey
bog,pupu,,,,,casey
bone,ridö,,,,,casey
book,tusi,,,,,casey
bore,tarte-paleipa,,verb,,,casey
born,mani,,,,,casey
both,sepal,,,,,casey
bottom,apal,,,,,casey
bow,gagai,,,,,casey
bow,gagal,,,,,casey
bow,gagari,,,,,casey
bowels,görzö,,,,,casey
bowl,turkǔ,,,,,casey
bowl,terku,,,,,casey
boy,gara kazi,,,,,casey
boy,magi-tiom,,,,,casey
brain,tigi,,,,,casey
branch,tam,,,,,casey
bread,areto,,,,,casey
bread-fruit,ti,,,,,casey
break,papalamiz,,verb,,,casey
break,patidan,,verb,,,casey
breast,da,,,,,casey
breast,susu,,,,,casey
breast,dǔra,,,,,casey
breath,ngana,,,,,casey
bridegroom,mabaeg-kain-ipi-gasaman,,,,,casey
bridge,do,,,,,casey
bright,meakata,,,,,casey
bring,mani,,,,,casey
bring,ngapa,,,,,casey
bring,angan,,,,,casey
broad,atadonga,,,,,casey
brood,apukazi,,,,,casey
brother,kuitag,,,,,casey
brother,kui-kuiga,,,,,casey
brother,ngaubatö,,,,,casey
brother,to-kiǔp,,,,,casey
brother,babǔd,,,,,casey
brow,,,,,,casey
bud,,,,,,casey
build,,,,,,casey
bullroarer,,,,,,casey
