english,kky,tsc,category,image,audio,submitted by
ear,kursai,talinga,body part,,,eric
ear,kaura,talinga,body part,,,eric
earring,muti,,clothing,,,eric
earring,gagi,,clothing,,,eric
earth,baradar,,environment,,,eric
earth,apa,,environment,,,eric
east,waradogam,,environment,,,eric
east,palagis,,environment,,,eric
eat,purutaipa,,verb,,,eric
ebb,gato,,environment,,,eric
echo,nurö,,environment,,,eric
eclipse,wardan,,environment,,,eric
edge,dang,,environment,,,eric
edge,gizu,,environment,,,eric
egg,kakur,,food,,,eric
egret,kabai,,animal,,,eric
elbow,kudru,,body part,,,eric
elbow,kudu,,body part,,,eric
empty,zaginga,,adjective,,,eric
empty,aiginga,,adjective,,,eric
end,kutö,,common,,,eric
enemy,kubo,,person,,,eric
enemy,ridau,,person,,,eric
enter,muia-utiz,,verb,,,eric
enter,kami,,verb,,,eric
entire,mura,,adjective,,,eric
envy,imulizilamiz,,emotion,,,eric
equal,matangadagidö,,adjective,,,eric
erase,idimoin,,verb,,,eric
erect,nanitan,,adjective,,,eric
err,rimarim,,verb,,,eric
escape,adapatamöin,,verb,,,eric
escape,katpalagiz,,verb,,,eric
eternal,ngaru,,adjective,,,eric
even,matangadagido,,adjective,,,eric
evening,kutapa,,time,,,eric
evil,watipaua,,adjective,,,eric
example,minaman,,common,,,eric
exhort,dantaean,,verb,,,eric
explain,balbaigpalan,,verb,,,eric
eye,dan,ai,body part,,,eric
eye,purka,ai,body part,,,
eyeball,dun,,body part,,,eric
eyeball,purka,,body part,,,eric
eyebrow,beibǎsa,,body part,,,eric
eyelash,samudung,,body part,,,eric
eyelid,pura,,body part,,,eric
eyelid,dunasamu,,body part,,,eric
