english,kky,tsc,category,image,audio,submitted by
I,ngai,,pronoun,,,eric
if,sike,,conjunction,,,eric
ignite,gamuidan,,verb,,,eric
ill,kikiri,,adjective,,,eric
image,ngadalga,,common,,,eric
image,uroi,,common,,,eric
imitate,puzida,,verb,,,eric
immediately,matadöbura,,adverb,,,eric
impossible,korawaig,,adjective,,,eric
impure,moaizinga,,adjective,,,eric
in,nu,,preposition,,,eric
incline,ioipa,,environment,,,eric
increase,sirisiri,,verb,,,eric
infant,mapeta,,person,,,eric
iniquity,ipidadö,,abstract,,,eric
iniquity,wati,,abstract,,,eric
inland,darba-nu,,environment,,,eric
inquire,iapopoibi,,verb,,,eric
insect,urui,,animal,,,eric
insect,baibuli,,animal,,,eric
inside,mui,,abstract,,,eric
inter,marama-toiaipa,,verb,,,eric
interpret,iungu-ngulaigö,,verb,,,eric
intestines,akur,,body part,,,eric
iron,turik,,material,,,eric
island,lagua,ailan,place,,,
island,lag,ailan,place,,,
it,noi,,pronoun,,,eric
itch,kurtumiz,,verb,,,eric
