english,kky,tsc,category,image,audio,submitted by
mad,rimarim,,emotion,,,mohim
maid,paka,,person,,,mohim
make,aimaipa,,verb,,,mohim
make,nidiz,,verb,,,mohim
male,garakazi,,person,,,mohim
male,inile,,person,,,mohim
man,mabaeg,,person,,,mohim
mango,waiwi,,food,,,mohim
mangrove,taga,,environment,,,mohim
mangrove,kuiyur,,environment,,,mohim
mangrove,biiu,,environment,,,mohim
manner,pawa,,noun,,,mohim
many,koima,,abstract,,,mohim
many,köigorsar,,abstract,,,mohim
many,mura,,abstract,,,mohim
margun,gizu,,noun,,,mohim
mark,tonar-tidanö,,abstract,,,mohim
mark,minar,,abstract,,,mohim
marry,maipaielpan,,verb,,,mohim
marry,garoweidamoin,,verb,,,mohim
