english,kky,tsc,category,image,audio,submitted by
oar,kaba,,tool,,,eric
obey,karengemin,,verb,,,eric
obscene,kogmer,,adjective,,,eric
octopus,sugu,sugu,animal,,,eric
of,-nö,,preposition,,,eric
often,köigörsar,,adverb,,,eric
oil,idi,,material,,,eric
old,kulpa,,adjective,,,eric
old,döbu,,adjective,,,eric
old,möroigö,,adjective,,,eric
on,gimal,,preposition,,,eric
one,wara,,number,,,eric
one,urapun,wan,number,,,eric
only,mata,,adverb,,,eric
ooze,iatiz,,verb,,,eric
open,adan,,verb,,,eric
open,pudan,,verb,,,eric
opossum,bait,,animal,,,eric
opossum,barit,,animal,,,eric
oppose,ridau,,verb,,,eric
order,iautumiz,,verb,,,eric
order,iamuitaean,,verb,,,eric
orifice,guago,,body part,,,eric
orifice,tarte,,body part,,,eric
other,wara,,adjective,,,eric
our,ngalpan,,determiner,,,eric
our,ngoimun,,determiner,,,eric
ourselves,ngöingöi,,pronoun,,,eric
outside,kala,,place,,,eric
outside,ada-dögam,,place,,,eric
outrigger,saima,,tool,,,eric
outrigger,sarima,,tool,,,eric
outrigger,togo,,tool,,,eric
oven,ǎmai,,tool,,,eric
oven,palagus,,tool,,,eric
over,gimia,,preposition,,,eric
over,gimal,,preposition,,,eric
oyster,ita,,animal,,,eric
oyster,itro,,animal,,,eric
oyster,awidö,,animal,,,eric
