english,kky,tsc,category,image,audio,submitted by
rage,tabukir,,emotion,,,
rain,ari,,enviroment,,,
rainbow,oripara,,enviroment,,,
raise,toridiz,,verb,,,
rat,makasŏ,,animal,,,
receive,töridiz,,,,,
red,kulka,,,,,
red,parma,,colour,,,
red,paruma,,colour,,,
reef,mazan,,nature,,,
refuge,muiariz,,safety,,,
refuse,laungaman,,safety,,,
rejoice,ikatiaiba,,verb,,,
remain,apanator,,verb,,,
remain,unaizö,,verb,,,
remember,ngonanama,,verb,,,
repair,butupatapia,,verb,,,
reply,kuduman,,communication,,,
reply,muli,,communication,,,
rest,ngöna,,verb,,,
return,kuniatidiz,,verb,,,
ridge,töra,,,,,
rich,zapul,,,,,
river,kösa,,,,,
river,böbu,,,,,
road,iabu,,,,,
rob,puru,,,,,
rock,mukö,,,,,
root,kuik,,,,,
