english,kky,tsc,category,image,audio,submitted by
sago palm,bisi,,environment,,,eric
sail,gul-waku,,tool,,,eric
sail,amori,,tool,,,eric
salt,usabutu,,salt,,,eric
salt water,adabu,,environment,,,eric
salt water,adabadu,,environment,,,eric
same,urapa,,adjective,,,eric
same,matangagid,,adjective,,,eric
sand,bukö,,environment,,,eric
sand,surum,,environment,,,eric
sap,ikai,,environment,,,eric
sawfish,waiitutu,,animal,,,eric
say,muliz,,verb,,,eric
say,iamuliz,,verb,,,eric
scalp,göngau,,body part,,,eric
scar,babur,,medical,,,eric
scold,silamai,,verb,,,eric
scold,ideipa,,verb,,,eric
scrape,iban,,verb,,,eric
scratch,kurtumiz,,verb,,,eric
scream,makiam,,verb,,,eric
scriptures,tusi,,tool,,,eric
sea,malu,solwata,environment,,,eric
sea,ur,solwata,environment,,,eric
sea,bau,solwata,environment,,,eric
seashore,tawala,,environment,,,eric
search,luman,,verb,,,eric
seat,niailagö,,tool,,,eric
seaweed,damu,,environment,,,eric
secret,kumi,,adjective,,,eric
see,imaipa,,verb,,,eric
see,nagepa,,verb,,,eric
seed,köusa,,environment,,,eric
seed,kapu,,environment,,,eric
seek,luman,,verb,,,eric
seize,gasaman,,verb,,,eric
self,kusaig,,abstract,,,eric
sell,zapudamoin,,verb,,,eric
send,wasan,,verb,,,eric
send,zapawaean,,verb,,,eric
separate,dadömamain,,verb,,,eric
separate,komakoma,,verb,,,eric
separate,maram-gudö,,verb,,,eric
serpent,tabu,,animal,,,eric
serpent,elma,,animal,,,eric
set,putizö,,verb,,,eric
sew,pagamöin,,verb,,,eric
sew,widan,,verb,,,eric
shade,iradu-aban,,environment,,,eric
shadow,rimö,,environment,,,eric
shake,galupan,,verb,,,eric
sham,ngolkai,,abstract,,,eric
shame,asir,,emotion,,,eric
share,kupai,,verb,,,eric
shark,baidamö,sak,animal,,,eric
shark,baidham,sak,animal,,,eric
sharp,köigizu,,adjective,,,eric
sharp,gizule,,adjective,,,eric
shave,luwaean,,verb,,,eric
shave,iatapatizo,,verb,,,eric
