english,kky,tsc,category,image,audio,submitted by
table,biraig,,tool,,,Arctus
table,laulau,,tool,,,Arctus
tail,kob,,animal,,,Arctus
tail,babun,,animal,,,Arctus
take,mani,,verb,,,Arctus
take,meipa,,verb,,,Arctus
talk,muliz,,verb,,,Arctus
tall,köikutalnga,,adjective,,,Arctus
taste,nutan,,verb,,,Arctus
taste,mita,,noun,,,Arctus
teach,ngurapipa,,verb,,,Arctus
tell,iakaman,,verb,,,Arctus
tell,iadupalgan,,verb,,,Arctus
tempt,nutan,,verb,,,Arctus
tender,körpusönga,,adjective,,,Arctus
termination,kutö,,abstract,,,Arctus
terror,aka,,abstract,,,Arctus
thank,ǐeso,,abstract,,,Arctus
that,sena,,pronoun,,,Arctus
that,senabi,,pronoun,,,Arctus
thee,ngi,,pronoun,,,Arctus
their,tanamun,,pronoun,,,Arctus
their,palamun,,pronoun,,,Arctus
them,tana ,,pronoun,,,Arctus
them,pala ,,pronoun,,,Arctus
therefore,kedazinga,,adverb,,,Arctus
therefore,senaoki,,adverb,,,Arctus
thick,badalenga,,adjective,,,Arctus
thief,puru-mabaeg,,person,,,Arctus
thigh,madu,,body part,,,Arctus
thigh,drakapi,,body part,,,Arctus
thin,pepenga,,adjective,,,Arctus
thing,za,,abstract,,,Arctus
thing,pawa,,abstract,,,Arctus
think,wakaintamamiz,,verb,,,Arctus
this,ina,,determiner,,,Arctus
this,inabi,,determiner,,,Arctus
this,ita,,determiner,,,Arctus
throat,ia,,body part,,,Arctus
throat,karta,,body part,,,Arctus
through,adakado,,preposition,,,Arctus
throw,taean,,verb,,,Arctus
throw,pagan,,verb,,,Arctus
thumb,kuikudim,,body part,,,Arctus
thumb,kabageta,,body part,,,Arctus
thunder,gigi,,enviroment,,,Arctus
thunder,duyuma,,enviroment,,,Arctus
thus,keda ,,conjunction,,,Arctus
tide,bubu,,time,,,Arctus
till,kurusipa,,time,,,Arctus
tired,gamu-doidima,,adjective,,,Arctus
to,-pa,,preposition,,,Arctus
to,-mulpa,,preposition,,,Arctus
tobacco,suguba,,material,,,Arctus
tobacco,sukub,,material,,,Arctus
together,kaimil,,adverb,,,Arctus
tongue,nöia,,speech,,,Arctus
tongue,nöitai,,speech,,,Arctus
tongue,löia,,speech,,,Arctus
top,gimal,,position,,,Arctus
touch,itut,,verb,,,Arctus
