english,kky,tsc,category,image,audio,submitted by
ulcer,bada,,,medical,,eric
ulcer,bagur,,,medical,,eric
uncle,keuba-tati,,,person,,eric
uncle,waduam,,,person,,eric
uncle,adoama,,,person,,eric
uncle,igalaigu,,,person,,eric
unclean,tulainga,,,adjective,,eric
under,apa,,,preposition,,eric
under,apal,,,preposition,,eric
understand,ngulaig,,,verb,,eric
understand,wakaitamain,,,verb,,eric
undo,gudöwaiz,,,verb,,eric
undress,pudiz,,,verb,,eric
unripe,kobaris,,,adjective,,eric
until,kurusipa,,,preposition,,eric
up,gimal,,,adverb,,eric
up,kadai,,,adverb,,eric
upon,worogi,,,preposition,,eric
us,ngalpa,,,pronoun,,eric
us,ngöi,,,pronoun,,eric
